PID,付费等级,时间,客服,满意度,风险,红线,红线详情,准确性,上下文,完整性,态度,总分,问题类型
751060435,P1,2026-03-02 20:39:32,bingocs_bv,1,高,否,,4,4,2,3,13,bug
801461526,P2,2026-02-25 00:54:57,bingocs_bv,1,高,是,玩家说Apple，客服要Google订单,2,1,4,4,11,付费
544145379,P1,2026-02-26 03:57:46,bingocs_bv,1,中,否,,4,4,4,3,15,付费
696585344,P1,2026-03-02 18:21:35,bingocs_bv,1,高,是,质疑玩家,4,4,4,2,14,付费
954155048,P0,2026-02-25 20:20:15,bingocs_bv,1,中,否,,4,4,4,3,15,bug
386743177,P0,2026-02-27 12:50:49,bingocs_bv,2,低,否,,4,4,4,4,16,bug
917205658,P1,2026-02-25 10:11:32,bingocs_bv,1,中,否,,4,4,4,3,15,其他
313927813,P2,2026-03-02 21:30:30,bingocs_bv,1,低,否,,4,4,4,4,16,bug
752952491,P1,2026-02-24 13:49:21,bingocs_bv,1,中,否,,4,4,4,3,15,付费
211658809,P2,2026-02-24 08:50:05,bingocs_bv,1,中,否,,4,4,4,3,15,bug
446010023,P1,2026-02-28 19:24:00,bingocs_bv,1,高,否,,4,2,4,3,13,bug
945362259,P1,2026-02-11 08:34:01,bingocs_bv,1,低,否,,4,4,4,4,16,其他
871657944,P1,2026-02-24 16:54:14,bingocs_bv,1,中,否,,4,4,4,3,15,bug
483078447,P1,2026-03-03 20:15:39,bingocs_bv,1,中,否,,4,4,4,3,15,bug
272404955,P0,2026-02-26 20:58:58,bingocs_bv,1,低,否,,4,4,4,4,16,付费
394977654,P1,2026-02-25 04:39:56,bingocs_bv,1,中,否,,4,4,4,3,15,付费
213655067,P1,2026-02-26 12:49:13,bingocs_bv,1,中,否,,4,4,4,3,15,其他
897481817,P1,2026-02-27 21:08:26,bingocs_bv,1,中,否,,4,4,4,3,15,玩法
313291066,P1,2026-03-01 20:47:58,bingocs_bv,1,中,否,,4,4,4,3,15,bug
623786597,P0,2026-02-26 23:59:56,bingocs_bv,1,中,否,,4,4,4,3,15,付费
395616390,P1,2026-03-02 10:31:12,bingocs_bv,1,低,否,,4,4,4,4,16,bug
303240827,P1,2026-02-25 08:16:18,bingocs_bv,,低,否,,4,4,4,4,16,付费
297653281,P1,2026-03-02 02:00:05,bingocs_bv,,低,否,,4,4,4,4,16,付费
431527392,P3,2026-03-03 17:19:45,bingocs_bv,,低,否,,4,4,4,4,16,其他
371045456,P0,2026-02-13 04:44:52,bingocs_bf+pm,,低,否,,4,4,4,4,16,其他
100721170,P0,2026-03-03 15:58:02,bingocs_bv,,低,否,,4,4,4,4,16,其他
471041179,P1,2026-02-28 20:16:46,bingocs_bv,5,低,否,,4,4,4,4,16,bug
909437381,P1,2026-02-28 20:50:24,bingocs_bv,,低,否,,4,4,4,4,16,bug
131793174,P0,2026-03-02 03:53:14,bingocs_bv,5,低,否,,4,4,4,4,16,付费
829730859,P1,2026-02-26 16:15:33,bingocs_bv,5,低,否,,4,4,4,4,16,bug
635824038,P2,2026-03-01 08:45:22,bingocs_bv,,低,否,,4,4,4,4,16,付费
575626919,P0,2026-03-01 12:43:54,bingocs_bv,,高,否,,4,4,2,4,14,bug
341287611,P1,2026-02-11 07:52:48,bingocs_bf+pm,5,低,否,,4,4,4,4,16,bug
248986209,P0,2026-02-12 05:20:27,bingocs_bv,,低,否,,4,4,4,4,16,其他
340412489,P1,2026-02-24 14:12:44,bingocs_bv,5,低,否,,4,4,4,4,16,bug
135772761,P1,2026-02-27 07:04:31,bingocs_bv,,低,否,,4,4,4,4,16,bug
276081042,P1,2026-02-27 12:35:47,bingocs_bv,,低,否,,4,4,4,4,16,bug
784233381,P2,2026-02-25 00:25:59,bingocs_bv,,低,否,,4,4,4,4,16,付费
604860299,P2,2026-02-26 09:42:59,bingocs_bv,,低,否,,4,4,4,4,16,付费
470832263,P1,2026-02-27 12:41:59,bingocs_bv,3,低,否,,4,4,4,4,16,付费
259825092,P1,2026-03-02 02:57:29,bingocs_bv,,低,否,,4,4,4,4,16,bug
572550163,P1,2026-02-26 09:15:54,bingocs_bv,5,低,否,,4,4,4,4,16,bug
9ff2dfab3abbb09fa197b98b299eaaba,Other,2026-02-11 22:33:20,bingocs_bf+pm,,低,否,,4,4,4,4,16,bug
175616819,P1,2026-03-01 11:15:49,bingocs_bv,,低,否,,4,4,4,4,16,bug
932226447,P1,2026-02-24 10:07:20,bingocs_bv,,低,否,,4,4,4,4,16,付费
882164594,P0,2026-02-25 14:30:35,bingocs_bv,5,低,否,,4,4,4,4,16,bug
154762370,P1,2026-03-02 01:43:08,bingocs_bv,,低,否,,4,4,4,4,16,付费
647065044,P0,2026-03-01 15:45:12,bingocs_bv,,低,否,,4,4,4,4,16,bug
346278788,P1,2026-03-04 03:24:21,bingocs_bv,,低,否,,4,4,4,4,16,付费
322324713,P3,2026-02-24 09:59:02,bingocs_bv,,低,否,,4,4,4,4,16,玩法
302183861,P0,2026-03-01 06:26:59,bingocs_bv,,低,否,,4,4,4,4,16,bug
625224133,P1,2026-03-02 03:35:03,bingocs_bv,5,高,否,,4,4,2,4,14,付费
252307079,P2,2026-03-01 01:37:49,bingocs_bv,,低,否,,4,4,4,4,16,付费
233290673,Other,2026-03-01 21:13:33,bingocs_bv,,低,否,,4,4,4,4,16,bug
572550163,P1,2026-02-25 11:20:57,bingocs_bv,5,低,否,,4,4,4,4,16,付费
115763423,P2,2026-03-01 13:58:40,bingocs_bv,5,低,否,,4,4,4,4,16,bug
652603014,P1,2026-02-27 02:28:03,bingocs_bv,3,低,否,,4,4,4,4,16,付费
